release_date,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit
28/01/2021,09 01 1966,242068,0.507,0.341,5,-11.765,0.0302,0.783,0.000245,0.194,0.319,150.142,0
04/02/2021,Year 3000,163680,0.606,0.538,10,-9.353,0.101,0.0952,0.000384,0.125,0.185,146.918,1
10/04/2021,THE YEAR 3000,114888,0.616,0.842,4,-14.327,0.103,0.357,0.412,0.673,0.782,140.063,0
09/04/2021,Logical Brain - Year 3000 Mix,216705,0.745,0.732,9,-11.286,0.0759,0.0833,0.928,0.0691,0.954,125.004,0
24/02/2021,Year 3000,120301,0.712,0.94,2,-8.064,0.0593,0.00682,0.738,0.101,0.737,168.066,0
08/01/2021,Year 3000,362000,0.882,0.538,9,-5.64,0.0774,0.00276,0.00898,0.635,0.794,120,0
03/01/2021,Year 3000,119995,0.527,0.514,1,-13.863,0.0401,0.227,0.823,0.123,0.874,139.996,0
16/03/2021,Majestic In The Year 3000,1125721,0.176,0.797,7,-3.1,0.0711,0.35,4.25E-06,0.373,0.25,75.664,0
07/01/2021,Logical Brain - Year 3000 Mix,216705,0.745,0.732,9,-11.286,0.0759,0.0833,0.928,0.0691,0.954,125.004,0
22/03/2021,Majestic In The Year 3000 - Instrumental,1127314,0.287,0.879,4,-3.312,0.0543,0.182,0.874,0.322,0.166,131.979,0
21/02/2021,"5,000 Lite Years Away",205822,0.715,0.526,1,-17.067,0.155,0.298,0.941,0.111,0.428,90.033,0
01/02/2021,Don't Nobody,176471,0.71,0.517,0,-13.564,0.0594,0.0439,0.334,0.0678,0.813,149.975,1
01/02/2021,Please,276102,0.942,0.704,2,-7.018,0.161,0.279,7.37E-06,0.16,0.699,136.024,1
01/02/2021,Purp Dro Kush,188017,0.943,0.596,8,-10.938,0.278,0.043,0.0318,0.346,0.868,135.953,1
01/02/2021,Movie Kush,178352,0.833,0.399,10,-16.644,0.176,0.133,4.25E-06,0.0934,0.445,76.986,1
01/02/2021,Stains,169411,0.848,0.444,7,-16.991,0.311,0.368,0,0.214,0.619,77.029,1
01/02/2021,Vitamin C,158839,0.818,0.571,1,-12.463,0.0446,0.00266,0.00415,0.124,0.136,136.018,1
01/02/2021,Lolipop,185797,0.804,0.588,2,-12.813,0.0446,0.451,0,0.104,0.773,135.959,1
